film_title,category_name,customer_name,city,country,total_payment
GRADUATE LORD,Children,MANUEL MURRELL,Jaffna,Sri Lanka,6.98
GAMES BOWFINGER,Travel,DEANNA BYRD,Tuguegarao,Philippines,4.99
WHALE BIKINI,Foreign,BARRY LOVELACE,Kitwe,Zambia,4.99
REDS POCUS,Music,JUAN FRALEY,Teboksary,Russian Federation,4.99
THIEF PELICAN,Animation,CONSTANCE REID,Zaria,Nigeria,4.99
STALLION SUNDANCE,Sci-Fi,JOY GEORGE,Botosani,Romania,0.99
MICROCOSMOS PARADISE,Children,FREDDIE DUGGAN,Sullana,Peru,2.99
RIDGEMONT SUBMARINE,New,MARIA MILLER,Kragujevac,Yugoslavia,5.99
HOPE TOOTSIE,Classics,CAROL GARCIA,Kaduna,Nigeria,2.99
TALENTED HOMICIDE,Sports,EDGAR RHOADS,Eskisehir,Turkey,0.99
ENTRAPMENT SATISFACTION,Action,JIM REA,El Fuerte,Mexico,0.99
RESERVOIR ADAPTATION,Foreign,COURTNEY DAY,Uijongbu,South Korea,4.99
METROPOLIS COMA,Sci-Fi,VELMA LUCAS,Effon-Alaiye,Nigeria,6.99
GANDHI KWAI,Family,ERIC ROBERT,Santa F,Argentina,0.99
ANTHEM LUKE,Comedy,MARGIE WADE,Lengshuijiang,China,6.99
VOYAGE LEGALLY,Classics,BOBBIE CRAIG,Valle de Santiago,Mexico,3.99
ARMAGEDDON LOST,Sci-Fi,BRYAN HARDISON,Dallas,United States,3.99
BLOOD ARGONAUTS,Family,DOUGLAS GRAF,Mexicali,Mexico,3.99
VALLEY PACKER,Comedy,DANIEL CABRAL,Ibirit,Brazil,0.99
TITANS JERK,Sci-Fi,RUTH MARTINEZ,Kimberley,South Africa,9.99
WOMEN DORADO,Action,LESLIE SEWARD,Pontianak,Indonesia,3.99
SUMMER SCARFACE,Classics,HUGH WALDROP,Haining,China,0.99
STRAIGHT HOURS,Sports,LEAH CURTIS,Kalisz,Poland,1.99
ATLANTIS CAUSE,Family,VIVIAN RUIZ,s-Hertogenbosch,Netherlands,2.99
WASH HEAVENLY,Foreign,JOSEPHINE GOMEZ,Etawah,India,4.99
PLUTO OLEANDER,New,LEON BOSTIC,Florencia,Colombia,4.99
LORD ARIZONA,Action,GREG ROBINS,Nam Dinh,Vietnam,2.99
SEABISCUIT PUNK,Sports,BRETT CORNWELL,Siliguri (Shiliguri),India,2.99
BREAKING HOME,New,MICHELLE CLARK,Tangail,Bangladesh,3.99
GRAFFITI LOVE,Sci-Fi,TAMMY SANDERS,Changhwa,Taiwan,0.99
EARRING INSTINCT,Family,ANDY VANHORN,Huejutla de Reyes,Mexico,0.99
SHREK LICENSE,Foreign,DONNA THOMPSON,Elista,Russian Federation,2.99
STONE FIRE,Travel,TIM CARY,Bijapur,India,6.99
BAREFOOT MANCHURIAN,Action,FRANCES PARKER,Juazeiro do Norte,Brazil,6.99
DOUBTFIRE LABYRINTH,Foreign,ENRIQUE FORSYTHE,Patras,Greece,4.99
MOB DUFFEL,Drama,JEROME KENYON,Rancagua,Chile,3.99
NETWORK PEAK,Family,VICKI FIELDS,Witten,Germany,3.99
SUPER WYOMING,Family,EDWIN BURK,Newcastle,South Africa,7.99
MALKOVICH PET,Classics,JIM REA,El Fuerte,Mexico,2.99
FREDDY STORM,Horror,JAMES GANNON,Hiroshima,Japan,5.99
RESURRECTION SILVERADO,Family,JON WILES,El Alto,Bolivia,0.99
HANGING DEEP,Drama,JORGE OLIVARES,Lhokseumawe,Indonesia,4.99
ORANGE GRAPES,Foreign,KATHLEEN ADAMS,Arak,Iran,0.99
VALLEY PACKER,Comedy,CARL ARTIS,San Lorenzo,Paraguay,0.99
ODDS BOOGIE,Family,SALLY PIERCE,Chandrapur,India,2.99
VOLCANO TEXAS,Games,IDA ANDREWS,Luzinia,Brazil,0.99
DADDY PITTSBURGH,Comedy,BILLY POULIN,Cabuyao,Philippines,5.99
DETECTIVE VISION,Classics,ROSA REYNOLDS,Lancaster,United States,0.99
ISLAND EXORCIST,Classics,CATHERINE CAMPBELL,Moscow,Russian Federation,2.99
SUPERFLY TRIP,Travel,KYLE SPURLOCK,Shanwei,China,0.99
DOLLS RAGE,Sci-Fi,MARIE TURNER,Lipetsk,Russian Federation,2.99
FELLOWSHIP AUTUMN,Travel,AARON SELBY,Mwene-Ditu,"Congo, The Democratic Republic of the",4.99
VIDEOTAPE ARSENIC,Games,MARGIE WADE,Lengshuijiang,China,4.99
CLONES PINOCCHIO,Music,MINNIE ROMERO,Ciomas,Indonesia,2.99
ROBBERY BRIGHT,Family,JAIME NETTLES,Hunuco,Peru,6.99
CELEBRITY HORN,Action,TIM CARY,Bijapur,India,0.99
EVERYONE CRAFT,Foreign,KATIE ELLIOTT,Kisumu,Kenya,0.99
LOVE SUICIDES,Horror,LANCE PEMBERTON,Beni-Mellal,Morocco,1.99
FORRESTER COMANCHEROS,Animation,AMY LOPEZ,Jhansi,India,4.99
HANGING DEEP,Drama,ANTONIO MEEK,Bag,Brazil,4.99
SHOOTIST SUPERFLY,Drama,LEE HAWKS,Pudukkottai,India,0.99
PULP BEVERLY,Horror,VICTOR BARKLEY,Manchester,United States,2.99
FARGO GANDHI,Children,MANUEL MURRELL,Jaffna,Sri Lanka,2.99
VELVET TERMINATOR,Comedy,CLAUDE HERZOG,Benguela,Angola,5.99
OZ LIAISONS,Animation,FRANKLIN TROUTMAN,Zaoyang,China,4.99
JUGGLER HARDLY,Animation,TIFFANY JORDAN,Enshi,China,1.99
GO PURPLE,Music,JAVIER ELROD,NDjamna,Chad,2.99
EYES DRIVING,Sci-Fi,JUNE CARROLL,Skikda,Algeria,3.99
ARABIA DOGMA,Horror,MARCUS HIDALGO,Tartu,Estonia,0.99
OTHERS SOUP,Travel,AUDREY RAY,Graz,Austria,5.98
SCISSORHANDS SLUMS,Foreign,DONNA THOMPSON,Elista,Russian Federation,2.99
BUGSY SONG,Foreign,WARREN SHERROD,Usolje-Sibirskoje,Russian Federation,3.99
MURDER ANTITRUST,Children,TED BREAUX,Baicheng,China,2.99
FURY MURDER,Children,STEPHEN QUALLS,Dhaka,Bangladesh,3.99
GANDHI KWAI,Family,BRADLEY MOTLEY,Purnea (Purnia),India,0.99
SCARFACE BANG,Children,JAMES GANNON,Hiroshima,Japan,8.99
ISLAND EXORCIST,Classics,GERALDINE PERKINS,Tel Aviv-Jaffa,Israel,2.99
MAJESTIC FLOATS,Documentary,AUDREY RAY,Graz,Austria,4.99
TURN STAR,Animation,MINNIE ROMERO,Ciomas,Indonesia,6.99
KNOCK WARLOCK,Comedy,SARAH LEWIS,Liepaja,Latvia,2.99
JET NEIGHBORS,Foreign,ALICE STEWART,Fontana,United States,4.99
PACIFIC AMISTAD,Documentary,LYNN PAYNE,Lilongwe,Malawi,1.99
ALTER VICTORY,Animation,HARVEY GUAJARDO,Vinh,Vietnam,0.99
YENTL IDAHO,Horror,KRISTEN CHAVEZ,Hino,Japan,7.99
CYCLONE FAMILY,Foreign,KARL SEAL,Cape Coral,United States,4.99
RAGING AIRPLANE,Sci-Fi,DEREK BLAKELY,Gingoog,Philippines,6.99
FARGO GANDHI,Children,BERNICE WILLIS,Batman,Turkey,6.99
TOURIST PELICAN,Sports,LAUREN HUDSON,Le Mans,France,4.99
